id,age,marital_status,sex,number_of_kids,occupation,education_level,house_tenure,income_past12months,avg_credit_card_spending_semi_annual,class
R00010,38,1,1,3,15.0,16,4,140371.45,26317.34,5
R00013,25,1,1,1,15.0,11,4,49171.68,3571.0,5
R00019,41,1,1,2,15.0,16,1,323903.26,17276.79,5
R00037,28,1,1,1,15.0,13,1,101347.77,9002.61,5
R00069,47,1,1,1,14.0,12,2,57522.6,8891.68,5
R00074,30,1,1,1,14.0,13,4,25405.04,4456.31,5
R00092,61,1,1,1,14.0,12,1,100323.74,9144.72,5
R00094,52,1,1,1,14.0,11,4,45353.89,2201.06,5
R00113,33,1,1,1,14.0,12,1,71628.61,1385.04,5
R00171,42,1,1,1,13.0,13,1,69333.48,2538.15,5
R00197,45,1,1,2,13.0,16,2,78995.31,10922.52,5
R00198,62,1,1,1,13.0,11,4,34464.26,2781.23,5
R00199,45,1,1,1,13.0,11,4,33197.68,3362.57,5
R00205,31,1,1,1,13.0,13,1,84318.42,4702.7,5
R00210,56,1,1,1,13.0,11,2,50031.36,6978.91,5
R00218,35,1,1,1,13.0,13,4,40791.37,2794.39,5
R00229,24,1,1,1,13.0,12,1,72393.85,3562.73,5
R00248,61,1,1,1,13.0,10,4,50181.02,10157.84,5
R00256,59,1,1,1,12.0,11,1,50280.16,33259.31,5
R00262,46,1,1,1,12.0,11,1,72192.14,9824.87,5
R00270,49,1,1,1,12.0,10,1,76912.25,5305.61,5
R00285,47,1,1,1,12.0,13,1,41543.65,4188.76,5
R00287,52,1,1,1,12.0,12,1,124659.58,3423.85,5
R00322,47,1,1,1,12.0,12,2,144874.48,6323.84,5
R00361,50,1,1,1,12.0,13,1,71598.45,14852.55,5
R00362,45,1,1,1,12.0,12,1,186163.6,22488.18,5
R00387,45,1,1,1,12.0,12,1,100128.09,3551.46,5
R00416,58,1,1,1,12.0,10,4,44118.46,17133.05,5
R00417,30,1,1,5,12.0,16,4,30131.5,9160.21,5
R00418,38,1,1,1,12.0,13,1,119596.44,21362.95,5
R00425,27,1,1,1,12.0,12,2,10928.21,4595.7,5
